0x0	0x0
0x3d	0x0
0x41	0x0
0x92	0x0
0xa8	0x0
0xbd	0x0
0x111	0x0
0x1f8	0x0
0x13eB0x41	0x0
0x115B0x41	0x0
0x123B0x41	0x0
0x147B0x41	0x0
0x192B0x41	0x0
0x162B0x41	0x0
0x175B0x41	0x0
0x151B0x41	0x0
0x172B0x41	0x0
0x17fB0x41	0x0
0x1caB0x115B0x41	0x0
0x1ddB0x115B0x41	0x0
0x1bbB0x115B0x41	0x0
0x1d0B0x115B0x41	0x0
0x1f2B0x115B0x41	0x0
0x1afB0x192B0x41	0x0
0x1a5B0x192B0x41	0x0
0x13eB0x92	0x0
0x115B0x92	0x0
0x123B0x92	0x0
0x147B0x92	0x0
0x192B0x92	0x0
0x162B0x92	0x0
0x175B0x92	0x0
0x151B0x92	0x0
0x172B0x92	0x0
0x17fB0x92	0x0
0x1caB0x115B0x92	0x0
0x1ddB0x115B0x92	0x0
0x1bbB0x115B0x92	0x0
0x1d0B0x115B0x92	0x0
0x1f2B0x115B0x92	0x0
0x1afB0x192B0x92	0x0
0x1a5B0x192B0x92	0x0
0x376aB0x41	0x0
0x378dB0x192B0x41	0x0
0x376aB0x92	0x0
0x378dB0x192B0x92	0x0
0x1a4B0x192B0x41	0x0
0x1a4B0x192B0x92	0x0
