0x1086	0x108d
0x184b	0x18d4
0x24f4	0x24f4
0x26d0	0x27a9
0x2c9d	0x2f4e
0x2f58	0x3075
0x314e	0x3216
0x36a6	0x36a6
0x36ac	0x36d8
0x36df	0x36fa
0x3702	0x382e
0x38c1	0x38df
0x398b	0x3a1b
0x184b	0x4342
0x184b	0x436b
0x26d0	0x4472
0x281f	0x4496
0x2af3	0x44bd
0x2f58	0x44e3
0x2f58	0x4508
0x351f	0x452d
0x36ac	0x4554
0x36df	0x4579
0x3970	0x45c4
0x398b	0x45e7
0x398b	0x4609
0x398b	0x462b
0x398b	0x464d
0x398b	0x466f
0x281f	0x2aeb0x281f
0x351f	0x2aeb0x351f
0x24b9	0x44020x24b9
0x24b9	0x44270x24b9
0x3835	0x45a10x3835
0x38e2	0x45a10x38e2
0x3935	0x45a10x3935
