0x40	0xe61eba4f
0x0	0x80
0x1f	0xc71281fc
0x2	0x40
0x5	0x4
0x9	0x260
0xd	0x0
0x10	0xe0
0x14	0x91725fd5
0x1a	0x144
0x25	0xb6
0x2a	0xdc070657
0x30	0x7a
0x35	0xdc070657
0x4b	0xe9fdf438
0x56	0xecd7c104
0x61	0xf5bb3d00
0x6c	0xf77c4791
0x76	0x0
0x7c	0xc71281fc
0x87	0xc7c4ff46
0x92	0xc7ca4bc9
0x9d	0xcf309012
0xa8	0xd9df4ece
0xb2	0x0
0xb8	0xa031fb7f
0xbe	0x108
0xc3	0xa031fb7f
0xce	0xa2525a9b
0xd9	0xa4d66daf
0xe4	0xa69df4b5
0xef	0xaffbf593
0xfa	0xbc4a5aec
0x104	0x0
0x10a	0x91725fd5
0x115	0x9381543c
0x120	0x94bf804d
0x12b	0x99a05b99
0x136	0x9f72e815
0x140	0x0
0x146	0x58a06f07
0x14c	0x1dd
0x151	0x6d33b42b
0x157	0x1a1
0x15c	0x6d33b42b
0x167	0x7bde82f2
0x172	0x7dc0d1d0
0x17d	0x7e1c0c09
0x188	0x89caad73
0x193	0x8b32fa23
0x19d	0x0
0x1a3	0x58a06f07
0x1ae	0x5cf51c6d
0x1b9	0x5eb101c3
0x1c4	0x612e6d87
0x1cf	0x65602147
0x1d9	0x0
0x1df	0x3343ace6
0x1e5	0x224
0x1ea	0x3343ace6
0x1f5	0x38af3eed
0x200	0x415f1240
0x20b	0x4e71d92d
0x216	0x51cff8d9
0x220	0x0
0x226	0x26603db
0x231	0xd644a41
0x23c	0x1740858e
0x247	0x17463963
0x252	0x2a95b374
0x25c	0x0
0x262	0x267
0x268	0x0
0x270	0x278
0x274	0x0
0x27a	0x282
0x27d	0x6
0x299	0x2a1
0x29d	0x0
0x2a3	0x3b4c
0x2a6	0x2b0
0x2aa	0x4
0x2ac	0x3477
0x2b1	0x7bf
0x2b8	0x3b6d
0x2bb	0x891
0x2c3	0x2cb
0x2c7	0x0
0x2cd	0x3b8e
0x2d0	0x2da
