0x0	0x0
0x1d	0x0
0x21	0x0
0xbf	0x0
0xf3	0x0
0x127	0x0
0x13c	0x0
0x152	0x0
0x187	0x0
0x1bb	0x0
0x313	0x0
0x22dB0x21	0x0
0x201B0x21	0x0
0x231B0x21	0x0
0x22dB0xbf	0x0
0x201B0xbf	0x0
0x231B0xbf	0x0
0x22dB0xf3	0x0
0x201B0xf3	0x0
0x231B0xf3	0x0
0x22dB0x152	0x0
0x201B0x152	0x0
0x231B0x152	0x0
0x22dB0x187	0x0
0x201B0x187	0x0
0x231B0x187	0x0
0x26eB0x127	0x0
0x2b1B0x127	0x0
0x2e1B0x127	0x0
0x2c4B0x127	0x0
0x2a0B0x127	0x0
0x2c1B0x127	0x0
0x2ceB0x127	0x0
0x304B0x2e1B0x127	0x0
0x2f3B0x2e1B0x127	0x0
0x2faB0x2e1B0x127	0x0
0x26eB0x13c	0x0
0x2b1B0x13c	0x0
0x2e1B0x13c	0x0
0x2c4B0x13c	0x0
0x2a0B0x13c	0x0
0x2c1B0x13c	0x0
0x2ceB0x13c	0x0
0x304B0x2e1B0x13c	0x0
0x2f3B0x2e1B0x13c	0x0
0x2faB0x2e1B0x13c	0x0
0x2b3eB0x127	0x0
0x310B0x2e1B0x127	0x0
0x2b61B0x2e1B0x127	0x0
0x2b3eB0x13c	0x0
0x310B0x2e1B0x13c	0x0
0x2b61B0x2e1B0x13c	0x0
