0x0	0
0x0	1
0x27	1
0x2b	1
0x2b	2
0x2b	3
0x2b	4
0x2b	5
0x2b	6
0x2b	7
0x2b	8
0x2b	9
0x2b	10
0x2b	11
0x2b	12
0x2b	13
0x2b	14
0x2b	15
0x2b	16
0x2b	17
0x2b	18
0x2b	19
0x2b	20
0x2b	21
0x2b	22
0x2b	23
0x2b	24
0x2b	25
0x2b	26
0x2b	27
0x2b	28
0x2b	29
0x2b	30
0x2b	31
0x2b	32
0x2b	33
0x2b	34
0x2b	35
0x2b	36
0x2b	37
0x2b	38
0x2b	39
0x2b	40
0x2b	41
0x2b	42
0x2b	43
0x2b	44
0x2b	45
0x2b	46
0x2b	47
0x2b	48
0x2b	49
0x2b	50
0x2b	51
0x2b	52
0x2b	53
0x2b	54
0x2b	55
0x2b	56
0x2b	57
0x2b	58
0x2b	59
0x2b	60
0x2b	61
0x2b	62
0x2b	63
0x2b	64
0x2b	65
0x2b	66
0x2b	67
0x2b	68
0x2b	69
0x2b	70
0x2b	71
0x2b	72
0x2b	73
0x2b	74
0x2b	75
0x2b	76
0x2b	77
0x2b	78
0x2b	79
0x2b	80
0x2b	81
0x2b	82
0x2b	83
0x2b	84
0x2b	85
0x2b	86
0x2b	87
0x2b	88
0x2b	89
0x2b	90
0x2b	91
0x2b	92
0x2b	93
0x2b	94
0x2b	95
0x2b	96
0x2b	97
0x2b	98
0x2b	99
0x2b	100
0x2b	101
0x2b	102
0x2b	103
0x2b	104
0x2b	105
0x2b	106
0x2b	107
0x2b	108
0x2b	109
0x2b	110
0x2b	111
0x2b	112
0x2b	113
0x2b	114
0x2b	115
0x2b	116
0x2b	117
0x2b	118
0x2b	119
0x2b	120
0x2b	121
0x2b	122
0x2b	123
0x2b	124
0x2b	125
0x2b	126
0x2b	127
0x2b	128
0x2b	129
0x2b	130
0x2b	131
0x2b	132
0x2b	133
0x2b	134
0x2b	135
0x2b	136
0x2b	137
0x2b	138
0x2b	139
0x2b	140
0x2b	141
0x2b	142
0x2b	143
0x2b	144
0x2b	145
0x2b	146
0x2b	147
0x2b	148
0x2b	149
0x2b	150
0x2b	151
0x2b	152
0x2b	153
0x2b	154
0x2b	155
0x2b	156
0x2b	157
0x2b	158
0x2b	159
0x2b	160
0x2b	161
0x2b	162
0x2b	163
0x2b	164
0x2b	165
0x2b	166
0x2b	167
0x2b	168
0x2b	169
0x2b	170
0x2b	171
0x2b	172
0x2b	173
0x2b	174
0x2b	175
0x2b	176
0x2b	177
0x2b	178
0x2b	179
0x2b	180
0x2b	181
0x2b	182
0x2b	183
0x2b	184
0x2b	185
0x2b	186
0x2b	187
0x2b	188
0x2b	189
0x2b	190
0x2b	191
0x2b	192
0x2b	193
0x2b	194
0x2b	195
0x2b	196
0x2b	197
0x2b	198
0x2b	199
0x2b	200
0x2b	201
0x2b	202
0x2b	203
0x2b	204
0x2b	205
0x2b	206
0x2b	207
0x2b	208
0x2b	209
0x2b	210
0x2b	211
0x2b	212
0x2b	213
0x2b	214
0x2b	215
0x2b	216
0x2b	217
0x2b	218
0x2b	219
0x2b	220
0x2b	221
0x2b	222
0x2b	223
0x2b	224
0x2b	225
0x2b	226
0x2b	227
0x2b	228
0x2b	229
0x2b	230
0x2b	231
0x2b	232
0x2b	233
0x2b	234
0x2b	235
0x2b	236
0x2b	237
0x2b	238
0x2b	239
0x2b	240
0x2b	241
0x2b	242
0x2b	243
0x2b	244
0x2b	245
0x2b	246
0x2b	247
0x2b	248
0x2b	249
0x2b	250
0x2b	251
0x2b	252
0x2b	253
0x2b	254
0x2b	255
0x2b	256
0x2b	257
0x2b	258
