0x2f6	0x6fdde03
0x373	0x95ea7b3
0x3b3	0xe752702
0x3e2	0x153ab505
0x3ec	0x173b9904
0x3f4	0x17bfdfbc
0x41a	0x18160ddd
0x422	0x182df0f5
0x42a	0x1a31d465
0x580	0x23b872dd
0x5b6	0x2608f818
0x5e2	0x26782247
0x606	0x30c83a05
0x60e	0x313ce567
0x62c	0x3af9e669
0x652	0x3b1d21a2
0x65a	0x3e941010
0x677	0x47bd3718
0x67f	0x56e67728
0x723	0x5c60da1b
0x72b	0x601a0bf1
0x748	0x6c540baf
0x750	0x6f307dc3
0x758	0x70a08231
0x77e	0x73acee98
0x786	0x852a12e3
0x7a3	0x8f840ddd
0x7ab	0x95d89b41
0x7b3	0x95dd9193
0x7d9	0x99d8c1b4
0x927	0xa0712d68
0x944	0xa6afed95
0x94c	0xa9059cbb
0x978	0xaa5af0fd
0x980	0xae9d70b0
0x988	0xb2a02ff1
0x9be	0xb71d1a0c
0x9e4	0xb7c553bb
0xa0a	0xbd6d894d
0xa12	0xc37f68e2
0xa5e	0xc5ebeaec
0xa7b	0xdb006a75
0xa98	0xdd62ed3e
0xac6	0xe9c714f2
0xace	0xf2b3abbd
0xaf4	0xf3fdb15a
0xafc	0xf5e3c462
0xb32	0xf851a440
0xb3a	0xf8f9da28
0xb42	0xfbb62337
0xb4a	0xfca7820b
0x5152	0x00000000
