0x40	0x40
0x0	0x0
0x60	0x60
0x1f	0x1f
0x4	0x4
0xf	0xf
0x2	0x2
0x5	0x5
0x7	0x7
0x8	0x8
0xd	0xd
0x10	0x10
0x12	0x12
0x14	0x14
0x19	0x19
0x1a	0x1a
0x24	0x24
0x2a	0x2a
0x2f	0x2f
0x35	0x35
0x3a	0x3a
0x45	0x45
0x4a	0x4a
0x50	0x50
0x55	0x55
0x5b	0x5b
0x66	0x66
0x6b	0x6b
0x71	0x71
0x76	0x76
0x7c	0x7c
0x7e	0x7e
0x7f	0x7f
0x81	0x81
0x82	0x82
0x85	0x85
0x87	0x87
0x89	0x89
0x8b	0x8b
0x8c	0x8c
0x8d	0x8d
0x91	0x91
0x9a	0x9a
0x9c	0x9c
0x9e	0x9e
0xa1	0xa1
0xab	0xab
0xae	0xae
0xaf	0xaf
0xb3	0xb3
0xb5	0xb5
0xb8	0xb8
0xb9	0xb9
0xbd	0xbd
0xbf	0xbf
0xc2	0xc2
0xc4	0xc4
0xc5	0xc5
0xc7	0xc7
0xc8	0xc8
0xc9	0xc9
0xcb	0xcb
0xcc	0xcc
0xcf	0xcf
0xd2	0xd2
0xd3	0xd3
0xd5	0xd5
0xd8	0xd8
0xda	0xda
0xdf	0xdf
0xe8	0xe8
0xea	0xea
0xeb	0xeb
0xec	0xec
0xf2	0xf2
0xf3	0xf3
0xf7	0xf7
0xfb	0xfb
0xff	0xff
0x101	0x101
0x102	0x102
0x106	0x106
0x10c	0x10c
0x10f	0x10f
0x130	0x130
0x132	0x132
0x133	0x133
0x137	0x137
0x13d	0x13d
0x140	0x140
0x145	0x145
0x147	0x147
0x148	0x148
0x14c	0x14c
0x152	0x152
0x155	0x155
0x15a	0x15a
0x15c	0x15c
0x15d	0x15d
0x161	0x161
0x167	0x167
0x16a	0x16a
0x16d	0x16d
0x16e	0x16e
0x16f	0x16f
0x172	0x172
0x173	0x173
0x174	0x174
0x178	0x178
0x17e	0x17e
0x17f	0x17f
0x181	0x181
0x183	0x183
0x185	0x185
0x186	0x186
0x187	0x187
0x188	0x188
0x19f	0x19f
0x1a1	0x1a1
0x1a2	0x1a2
0x1a6	0x1a6
0x1ac	0x1ac
0x1af	0x1af
0x1b4	0x1b4
0x1b6	0x1b6
